乌	581
怨	580
俱	576
净	576
陈	573
漏	572
奇	571
棹	570
炉	569
戎	569
轮	569
修	569
赤	567
琼	566
披	561
穿	561
强	559
底	557
壮	557
宾	556
走	556
短	556
史	555
驱	554
境	553
借	552
宅	551
昼	551
巢	551
绮	549
衔	549
潭	547
源	547
羡	546
盖	544
悠	543
绣	543
塘	542
潜	542
襟	542
避	541
达	541
拟	535
愧	535
渚	533
陌	533
恋	531
弄	531
辉	531
策	529
历	528
茅	527
响	526
巴	525
存	525
拥	524
县	524
添	521
萝	521
耕	520
滴	519
寞	519
要	519
第	517
招	516
盈	516
壶	516
诏	515
背	515
凄	515
殷	511
洒	511
墙	511
降	510
厌	509
诚	508
灭	508
赠	506
钱	506
郊	506
荡	504
省	504
澄	502
郭	500
弟	499
覆	498
密	498
圆	497
就	497
儒	496
檐	494
法	494
营	494
差	493
利	492
嫌	490
服	488
疾	486
牵	486
尝	485
陶	484
聊	482
幕	482
卿	479
广	478
院	478
属	476
市	476
侍	475
帐	475
篇	475
妆	474
迥	474
养	471
曙	470
庐	468
纷	468
刀	464
遣	464
淮	463
旋	463
嘉	463
友	462
献	462
奉	460
唱	459
巾	458
弃	457
驾	457
威	457
峡	456
趋	456
际	455
岛	455
怪	455
仰	455
义	455
适	455
簪	454
追	454
逸	454
夷	454
受	454
实	454
奏	453
漫	450
韵	449
试	449
窥	449
或	448
鳞	448
升	448
侣	445
哭	445
呼	445
洗	445
桐	444
雕	443
迁	443
叠	442
腰	442
停	442
杀	441
秀	440
庙	439
阔	438
限	438
蝶	438
除	437
驻	437
系	437
樵	436
袖	436
弹	435
驰	435
鹿	434
驿	432
果	432
涛	431
坛	431
泣	431
杳	429
扉	429
锁	427
杜	427
候	425
歇	425
饥	425
冬	425
壑	423
屏	423
畔	423
阑	423
杖	422
商	421
丽	420
蒙	419
寿	419
翼	419
虫	419
羁	419
埃	418
话	418
邑	418
倒	416
冲	416
奈	416
哉	415
浓	415
鸳	415
瑞	415
致	415
霁	414
印	414
扶	412
推	412
布	412
耳	411
丈	410
政	410
乍	410
醒	408
陪	407
熟	406
柏	406
延	405
伊	403
斯	403
也	401
烦	401
鼎	400
固	398
宇	398
鞭	396
济	396
篱	396
险	395
懒	394
辛	394
浩	394
抛	391
场	391
严	390
谓	390
零	387
苏	386
宗	386
免	386
暑	384
兄	384
羞	384
读	384
黑	382
甲	382
辰	381
槛	381
彼	381
层	381
退	380
旷	380
裳	380
扇	379
杂	379
改	378
雀	378
集	378
富	377
睡	376
委	375
酬	374
雅	374
陇	374
贱	374
买	374
鲜	373
焚	372
伏	372
崖	372
味	372
戈	372
而	371
余	371
茶	370
奔	370
鬼	370
酌	370
血	370
座	369
笙	369
鹭	369
衡	368
履	368
佩	368
忍	367
鸥	366
顶	366
泊	364
劝	364
曹	364
表	362
母	360
蒲	360
戍	360
支	357
宦	356
写	355
芜	355
巷	354
司	354
翰	353
屈	353
妙	353
笛	353
止	352
尧	352
寸	351
姓	350
阻	349
造	348
梧	348
展	348
摧	347
佛	347
杏	347
裁	347
射	347
堤	347
甚	346
澹	346
托	345
废	344
痕	344
芝	343
次	343
激	343
炎	343
网	343
犬	343
踪	343
勿	342
索	342
磬	342
妨	341
返	341
仪	341
贞	341
岐	340
滞	339
砌	339
茫	338
宠	338
换	338
振	338
促	338
铜	338
柱	338
咽	338
妇	338
益	337
栽	336
娇	336
己	336
旦	336
姿	334
累	334
压	334
宣	333
资	333
仁	332
钩	330
渭	330
刘	330
符	329
芙	329
箫	329
父	329
违	329
堕	329
亡	328
畏	327
脱	327
谋	327
妾	326
兮	326
聚	326
律	326
祖	325
萦	325
觞	324
置	324
竿	324
进	324
饶	324
记	323
环	323
染	323
晖	322
虏	322
漠	321
社	321
裴	321
樽	320
润	320
啸	318
鲁	318
谈	317
瑟	317
请	317
号	316
珍	316
挥	316
界	315
箭	315
荐	315
了	314
郁	314
潇	313
惠	313
视	313
赐	313
讵	312
灰	312
趣	312
毫	311
束	310
触	310
戏	310
占	310
左	310
伯	310
恶	309
农	309
羊	309
忠	308
善	308
禄	308
吐	308
夸	307
藤	307
值	306
蓉	306
建	306
掌	305
籍	305
丰	304
弓	303
豪	303
切	302
陆	302
态	302
齿	301
侧	300
巫	300
屡	300
虑	299
巡	299
稍	299
竞	299
欹	298
嵩	297
霭	297
氏	296
凋	296
右	293
穴	293
棋	293
踏	293
朔	293
冻	292
乾	291
缨	291
嘶	291
予	290
龟	290
谒	290
施	290
辨	290
妻	289
唐	289
位	289
旆	288
墨	288
弱	288
汀	287
焉	287
欺	287
舒	286
仗	286
淹	286
溟	285
餐	284
役	284
慵	284
蛮	283
尾	283
纤	282
民	282
宽	282
柴	281
汝	280
氛	280
簟	280
昭	279
倦	279
兔	279
简	279
暇	279
体	278
坠	278
